# isotropic nmr Al shielding tensor 
#  0.0		2.5core       2.5core_na   4.0core    4.0core_na     6.0core       6.0core_na
  539.7794     526.1455       517.1404     528.9952   527.4454       527.9877       526.4206   
  527.7288     526.5197       511.8370     523.1257   521.5122       541.2050       541.1490
  534.8223     521.8991       514.9634     529.6345   528.5683       530.1289       531.0457
  522.5524     523.2552       508.0736     528.7826   527.7803       534.4594       534.7958
  530.0681     532.5302       510.3424     529.4223   528.1190       537.6066       537.3058
  538.9995     531.2829       521.6146     531.4260   529.1334       534.9003       535.0169
  534.8908     520.0294       517.5917     530.3730   527.1486       527.1123       526.6809
  529.9145     522.1375       506.9346     525.0725   521.7286       527.5018       526.1556
  528.1151     534.1243       509.9494     522.8818   520.3021       534.8183       534.1743
  531.4765     528.1302       512.6506     528.5883   526.0892       536.2667       537.7059
  535.6668     525.4337       512.7510     529.4854   526.2409       529.0275       528.4844
  534.1915     532.6158       513.6096     524.0532   521.2711       530.3517       528.1989
  531.7682     523.5720       511.2732     525.4145   524.1836       538.3074       533.7702
  528.6306     519.2122       509.8969     528.0102   526.3077       527.8124       525.9378
  534.0124     536.0110       503.6823     530.5404   529.8793       531.6580       533.0147
  531.0970     537.1344       513.1216     527.7880   526.8816       529.4300       529.8603
  527.3251     521.7567       523.6348     524.1689   523.5994       538.7327       539.3360
  532.3476     525.9604       516.5649     525.3353   523.7939       533.1761       535.6837
  540.5468     534.0973       509.1588     530.2527   527.3287       524.7663       522.0044
  540.7987     525.7672       509.4345     533.1909   530.7453       531.8675       528.6020
  532.6700     523.1062       506.7258     526.9549   525.5046       535.5289       526.4677
  529.9491     526.7809       505.5208     524.3231   521.9614       525.5618       522.3256
  528.8355     523.1292       510.1291     532.6506   527.7442       523.0470       522.4753
  534.2487     523.4891       514.8137     533.6597   530.3673       528.3408       528.0779
  539.6625     528.7728       511.7430     537.1092   534.4034       534.4620       534.2802
  535.7484     525.7157       517.0985     533.0612   531.5231       522.2015       520.8362
  537.0146     517.1339       501.1726     526.5937   525.0241       529.5606       526.5029
  531.6389     520.2483       504.4438     523.7048   522.2382       529.6107       528.8017
  529.9065     530.2062       518.2183     531.2245   529.1186       537.0487       534.3044
  535.3194     525.4011       516.1357     532.3516   530.3078       532.7508       531.6878
  541.6351     518.4209       514.0498     525.8168   524.4238       528.4005       528.0497
  534.4946     524.9069       525.8456     525.5930   524.1811       536.5568       536.4378
  524.3042     526.5867       524.1382     528.5083   526.1817       538.2890       536.1326
  530.8218     519.7754       510.2410     528.9371   526.8020       530.2015       528.0660
  543.7405     522.8905       508.6221     526.7250   524.4149       529.4360       529.5401
  535.7254     528.3979       516.5821     527.6159   525.3633       531.8121       531.1975
  534.7867     526.4732       508.6994     529.8489   528.0538       531.8906       531.1337
  521.8095     524.3199       511.9832     529.0736   528.0931       526.5785       525.8868
  528.8641     526.4770       507.1058     531.0368   530.5463       524.4077       525.0488
