,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element
0,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft,0.15,,3.0,25,2740,,,32,23Na
1,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft,0.15,,3.0,25,2740,,,32,23Na
2,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft,0.15,,3.0,25,2740,,,32,23Na
3,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft,0.15,,3.0,25,2740,,,32,23Na
4,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ct.ft,0.15,,3.0,25,2740,,,32,23Na
5,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft,0.15,,3.0,25,2740,,,32,23Na
6,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft,0.15,,3.0,25,2740,,,32,23Na
7,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft,0.15,,3.0,25,2740,,,32,23Na
8,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft,0.15,,3.0,25,2740,,,32,23Na
9,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-1st-2740Hz-25C-32ctF.ft,0.15,,3.0,25,2740,,,32,23Na
10,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ct.ft,0.15,,3.0,140,2660,,,32,23Na
11,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2660Hz-140C-32ct.ft,0.15,,3.0,140,2660,,,32,23Na
